source_label,filename,sha256_observed,sha256_expected,size_mb,status,recorded_on,citation
ENCOVI_2023,encovi_2023_c13sa_alimentos_3.xlsx,85cf72cd3d425ae190fa9e26d92ecba981d4d3f666d28df962fc46e49f8d1980,85cf72cd3d425ae190fa9e26d92ecba981d4d3f666d28df962fc46e49f8d1980,71.02,match,2025-11-08,"INE Guatemala. Encuesta Nacional de Condiciones de Vida (ENCOVI) 2023. Microdata. Instituto Nacional de Estadistica, Guatemala."
ENCOVI_2023,encovi_2023_c16sbc_produccion.xlsx,f789dc9d62bf78c6a58b01a3e7c81e0f1481e64b4d7104915343d98c9af66934,f789dc9d62bf78c6a58b01a3e7c81e0f1481e64b4d7104915343d98c9af66934,6.38,match,2025-11-08,"INE Guatemala. Encuesta Nacional de Condiciones de Vida (ENCOVI) 2023. Microdata. Instituto Nacional de Estadistica, Guatemala."
ENCOVI_2023,encovi_2023_c16sa_unidad.xlsx,a0b1ecc84d36532a5174d36ce10bc77899382b8e8383ef763eb607d7c10359cc,a0b1ecc84d36532a5174d36ce10bc77899382b8e8383ef763eb607d7c10359cc,0.49,match,2025-11-08,"INE Guatemala. Encuesta Nacional de Condiciones de Vida (ENCOVI) 2023. Microdata. Instituto Nacional de Estadistica, Guatemala."
ENCOVI_2023,encovi_2023_hogares.xlsx,b48242a09dce3884fc924b895d51c1a0d8329494cd09e034d9122c13032766f4,b48242a09dce3884fc924b895d51c1a0d8329494cd09e034d9122c13032766f4,4.31,match,2025-11-08,"INE Guatemala. Encuesta Nacional de Condiciones de Vida (ENCOVI) 2023. Microdata. Instituto Nacional de Estadistica, Guatemala."
ENCOVI_2023,encovi_2023_personas.xlsx,60918d0fb208f904ecc39b964fb89890d85730a6f28b9e1d19ce567b62fbc984,60918d0fb208f904ecc39b964fb89890d85730a6f28b9e1d19ce567b62fbc984,103.26,match,2025-11-08,"INE Guatemala. Encuesta Nacional de Condiciones de Vida (ENCOVI) 2023. Microdata. Instituto Nacional de Estadistica, Guatemala."
SIVESNU,sivesnu_gt18_hogar_publico.dta,e84fce7cd699fd3634d768776af796f296ee8738b18141934c5ed4b5a9c043a5,e84fce7cd699fd3634d768776af796f296ee8738b18141934c5ed4b5a9c043a5,6.97,match,2025-11-08,"SESAN / INCAP. Sistema de Vigilancia Epidemiologica de Salud y Nutricion (SIVESNU). Microdata. Secretaria de Seguridad Alimentaria y Nutricional, Guatemala."
SIVESNU,sivesnu_gt18_miembros_publico.dta,cb9c45c2ee3d8f0a22808ee340f3a777ecbfffd72cc37c2a5953241b627546cc,cb9c45c2ee3d8f0a22808ee340f3a777ecbfffd72cc37c2a5953241b627546cc,2.37,match,2025-11-08,"SESAN / INCAP. Sistema de Vigilancia Epidemiologica de Salud y Nutricion (SIVESNU). Microdata. Secretaria de Seguridad Alimentaria y Nutricional, Guatemala."
SIVESNU,sivesnu_gt18_mujer_publico.dta,58582305df9ffa23ef1ed7ebb13a02c82cdc4a1db7bd476934775b0de04e1b4e,58582305df9ffa23ef1ed7ebb13a02c82cdc4a1db7bd476934775b0de04e1b4e,7.41,match,2025-11-08,"SESAN / INCAP. Sistema de Vigilancia Epidemiologica de Salud y Nutricion (SIVESNU). Microdata. Secretaria de Seguridad Alimentaria y Nutricional, Guatemala."
SIVESNU,sivesnu_gt18_nino_publico.dta,31492b85bc5d8d81107a6a30b7561d90d2e82367b62a425efba2b676707f19f4,31492b85bc5d8d81107a6a30b7561d90d2e82367b62a425efba2b676707f19f4,2.97,match,2025-11-08,"SESAN / INCAP. Sistema de Vigilancia Epidemiologica de Salud y Nutricion (SIVESNU). Microdata. Secretaria de Seguridad Alimentaria y Nutricional, Guatemala."
INE_NACIMIENTOS,INE_Guatemala_Nacimientos_2019.xlsx,e6569bb34e40ef3d5c72ae7332a88f102ef61e82529439b3880fad520c8c7a68,e6569bb34e40ef3d5c72ae7332a88f102ef61e82529439b3880fad520c8c7a68,0.25,match,2026-04-27,"INE Guatemala. Estadisticas Vitales: Nacimientos. Annual reports 2019-2023. Instituto Nacional de Estadistica, Guatemala."
INE_NACIMIENTOS,INE_Guatemala_Nacimientos_2020.xlsx,f6d03f6f6d90699afad2b1d46599574448de2d26405fd657b088550848ce87c3,f6d03f6f6d90699afad2b1d46599574448de2d26405fd657b088550848ce87c3,0.4025,match,2026-04-27,"INE Guatemala. Estadisticas Vitales: Nacimientos. Annual reports 2019-2023. Instituto Nacional de Estadistica, Guatemala."
INE_NACIMIENTOS,INE_Guatemala_Nacimientos_2021.xlsx,e83323ce7eb2314008dc0008b3d601051f4304933a29803db3744267ff948861,e83323ce7eb2314008dc0008b3d601051f4304933a29803db3744267ff948861,0.2585,match,2026-04-27,"INE Guatemala. Estadisticas Vitales: Nacimientos. Annual reports 2019-2023. Instituto Nacional de Estadistica, Guatemala."
INE_NACIMIENTOS,INE_Guatemala_Nacimientos_2022.xlsx,d0d7d22dde132038c1bde0175751fd9c231dde55412d91a8be54bf09e693a3b9,d0d7d22dde132038c1bde0175751fd9c231dde55412d91a8be54bf09e693a3b9,0.2687,match,2026-04-27,"INE Guatemala. Estadisticas Vitales: Nacimientos. Annual reports 2019-2023. Instituto Nacional de Estadistica, Guatemala."
