name,name_original,source_table,section,label_es,type,domain_min,domain_max,domain_levels,unit,notes
nboletahogar,nboletahogar,nino,a. Información básica,número del cuestionario del hogar,id,,,,,
pesonino,pesonino,nino,a. Información básica,Pesos muestrales para niños,numeric_continuous,0,100000,,,survey weights for child sample
conglomerado,Conglomerado,nino,a. Información básica,ID Cartográfica: conglomerado; utiliza para corregir los errores estándares en todos los análisis,numeric_continuous,0,100000000,,id,cluster identifier
feradj,FERadj,nino,g. Índices biológicos,Ferritina sérica (SF) [mcg/L] ajustado por Proteína C reactiva (CRP) y Glicoproteína ácido alfa 1 (AGP) según BRINDA,numeric_continuous,0,2000,,ug/L,
stfradj,sTFRadj,nino,g. Índices biológicos,Receptores solubles de transferrina (sTFR) [mg/L] ajustado por Glicoproteína ácido alfa 1 (AGP) según BRINDA,numeric_continuous,0,50,,mg/L,
rbpadj,RBPadj,nino,g. Índices biológicos,Proteína Fijadora de Retinol [RBP]  [mcmol/L] corregida por inflamación por BRINDA,numeric_continuous,0,10,,umol/L,
boletanino,BOLETANINO,nino,a. Información básica,número del cuestionario del niño,id,,,,,
notabletan,NOTABLETAN,nino,a. Información básica,número de la tableta,id,,,,,
nlinea,NLINEA,nino,a. Información básica,número de línea (A029 de cuestionario de hogar),id,,,,,
sexonino,SexoNino,nino,b. Characterísticas generales,Sexo del niño,binary,,,1;2,,
alturaindnino,ALTURAINDNINO,nino,g. Índices biológicos,Altura sobre nivel del mar del niño (m),numeric_continuous,0,4500,,m,altitude m above sea level
fer,FER,nino,g. Índices biológicos,Ferritina sérica (SF) [mcg/L],numeric_continuous,0,2000,,ug/L,
stfr,STFR,nino,g. Índices biológicos,Receptores solubles de transferrina (sTFR) [mg/L],numeric_continuous,0,50,,mg/L,
bis,BIS,nino,g. Índices biológicos,Reservas de Hierro Corporal (BIS) [MG/KG Peso],numeric_continuous,-15,30,,mg/kg,Body Iron Stores; negative legitimate (deficit)
rbp,RBP,nino,g. Índices biológicos,Proteína fijadora de retinol (RBP) [mcmol/L],numeric_continuous,0,10,,umol/L,
obs_rbp,Obs_RBP,nino,g. Índices biológicos,Observaciones del analisis de RBP,binary,,,>UDL (6.0),,
crp,CRP,nino,g. Índices biológicos,Proteína C reactiva (CRP) [mg/L],numeric_continuous,0,300,,mg/L,
obs_crp,Obs_CRP,nino,g. Índices biológicos,Observaciones del analisis de CRP,binary,,,<LDL (0.05),,
agp,AGP,nino,g. Índices biológicos,Glicoproteína ácido alfa 1 (AGP) [g/L],numeric_continuous,0,5,,g/L,
